team1,team2,matchStartTime,team1score,team2score,homeodd,drawodd,awayodd,home_odd_win,draw_odd_win,away_odd_win,bookmakers_prediction
Manchester City,Fulham,16:00,1,1,1.66,3.58,5.76,0,1,0,0
West Ham,Liverpool,14:30,3,1,3.44,3.27,2.17,1,0,0,0
Aston Villa,Blackburn,16:00,4,1,1.76,3.54,4.81,1,0,0,1
Everton,Sunderland,16:00,2,0,1.65,3.66,5.57,1,0,0,1
Newcastle,Bolton,16:00,1,1,1.97,3.45,3.87,0,1,0,0
Wigan,Manchester Utd,16:00,0,4,6.6,3.9,1.53,0,0,1,1
Wolves,Blackpool,16:00,4,0,1.7,3.9,4.72,1,0,0,1
Arsenal,Stoke,20:45,1,0,1.32,4.96,10.21,1,0,0,1
Blackpool,Tottenham,21:00,3,1,4.2,3.73,1.81,1,0,0,0
West Brom,Wolves,13:00,1,1,2.06,3.3,3.71,0,1,0,0
Birmingham,Newcastle,20:45,0,2,2.46,3.18,2.94,0,0,1,0
Fulham,Chelsea,21:00,0,0,4.99,3.51,1.75,0,1,0,0
Bolton,Everton,17:00,2,0,2.8,3.28,2.51,1,0,0,0
Sunderland,Tottenham,18:30,1,2,2.51,3.23,2.85,0,0,1,0
Arsenal,Wolves,16:00,2,0,1.25,5.57,12.62,1,0,0,1
Birmingham,Stoke,16:00,1,0,2.48,3.15,2.99,1,0,0,1
Blackburn,Newcastle,16:00,0,0,2.24,3.21,3.34,0,1,0,0
Blackpool,Aston Villa,16:00,1,1,3.23,3.53,2.15,0,1,0,0
Liverpool,Wigan,16:00,1,1,1.38,4.46,9.07,0,1,0,0
West Brom,West Ham,16:00,3,3,1.8,3.7,4.33,0,1,0,0
Manchester Utd,Manchester City,13:45,2,1,1.88,3.41,4.3,1,0,0,1
Chelsea,Liverpool,17:00,0,1,1.5,4.22,6.46,0,0,1,0
West Ham,Birmingham,14:30,0,1,1.97,3.39,3.92,0,0,1,0
Wolves,Manchester Utd,18:30,2,1,7.51,4.13,1.47,1,0,0,0
Aston Villa,Fulham,16:00,2,2,2.04,3.25,3.83,0,1,0,0
Everton,Blackpool,16:00,5,3,1.42,4.48,7.58,1,0,0,1
Manchester City,West Brom,16:00,3,0,1.43,4.29,7.91,1,0,0,1
Newcastle,Arsenal,16:00,4,4,4.88,3.63,1.73,0,1,0,0
Tottenham,Bolton,16:00,2,1,1.61,3.74,5.96,1,0,0,1
Wigan,Blackburn,16:00,4,3,2.5,3.23,2.88,1,0,0,1
Stoke,Sunderland,13:45,3,2,1.99,3.29,4.0,1,0,0,1
Blackburn,Tottenham,21:00,0,1,2.88,3.24,2.48,0,0,1,1
Blackpool,West Ham,21:00,1,3,2.25,3.46,3.09,0,0,1,0
Bolton,Wolves,21:00,1,0,1.86,3.46,4.33,1,0,0,1
Fulham,Newcastle,21:00,1,0,1.88,3.4,4.36,1,0,0,1
Liverpool,Stoke,21:00,2,0,1.64,3.59,5.93,1,0,0,1
Birmingham,Manchester City,20:45,2,2,4.71,3.51,1.79,0,1,0,0
Manchester Utd,Aston Villa,21:00,3,1,1.33,5.07,9.25,1,0,0,1
West Brom,Wigan,21:00,2,2,1.74,3.62,4.83,0,1,0,0
Arsenal,Everton,20:45,2,1,1.45,4.27,7.48,1,0,0,1
Sunderland,Chelsea,20:45,2,4,4.97,3.52,1.74,0,0,1,1
Liverpool,Fulham,21:00,1,0,1.55,3.83,6.54,1,0,0,1
Wigan,Aston Villa,20:45,1,2,3.1,3.37,2.28,0,0,1,1
Blackpool,Manchester Utd,20:30,2,3,8.86,4.9,1.35,0,0,1,1
Bolton,Chelsea,21:00,0,4,4.78,3.54,1.76,0,0,1,1
Blackburn,West Brom,17:00,2,0,2.31,3.31,3.1,1,0,0,1
Aston Villa,Manchester City,18:30,1,0,3.35,3.19,2.24,1,0,0,0
Arsenal,Wigan,16:00,3,0,1.18,7.01,15.4,1,0,0,1
Blackpool,Sunderland,16:00,1,2,2.47,3.28,2.87,0,0,1,0
Everton,West Ham,16:00,2,2,1.48,4.14,7.13,0,1,0,0
Fulham,Stoke,16:00,2,0,2.13,3.23,3.57,1,0,0,1
Manchester Utd,Birmingham,16:00,5,0,1.19,6.5,14.71,1,0,0,1
Newcastle,Tottenham,16:00,1,1,3.01,3.33,2.35,0,1,0,0
Wolves,Liverpool,13:45,0,3,2.88,3.18,2.52,0,0,1,1
Tottenham,Manchester Utd,17:10,0,0,3.05,3.17,2.42,0,1,0,0
Liverpool,Everton,15:05,2,2,2.41,3.04,3.21,0,1,0,0
Birmingham,Aston Villa,13:00,1,1,2.73,3.01,2.79,0,1,0,0
Sunderland,Newcastle,13:00,1,1,2.11,3.15,3.76,0,1,0,0
West Ham,Arsenal,18:30,0,3,7.42,4.42,1.44,0,0,1,1
Chelsea,Blackburn,16:00,2,0,1.25,5.89,12.06,1,0,0,1
Manchester City,Wolves,16:00,4,3,1.37,4.44,9.52,1,0,0,1
Stoke,Bolton,16:00,2,0,2.12,3.26,3.57,1,0,0,1
West Brom,Blackpool,16:00,3,2,1.74,3.82,4.48,1,0,0,1
Wigan,Fulham,16:00,1,1,2.63,3.16,2.76,0,1,0,0
Blackpool,Liverpool,21:00,2,1,3.76,3.56,1.95,1,0,0,0
Blackburn,Liverpool,21:00,3,1,4.2,3.51,1.86,1,0,0,0
Bolton,Wigan,21:00,1,1,1.74,3.54,5.0,0,1,0,0
Everton,Tottenham,21:00,2,1,2.43,3.25,2.93,1,0,0,1
Arsenal,Manchester City,20:45,0,0,1.75,3.63,4.67,0,1,0,0
Aston Villa,Sunderland,20:45,0,1,1.89,3.5,4.09,0,0,1,0
Newcastle,West Ham,20:45,5,0,1.87,3.45,4.25,1,0,0,1
Wolves,Chelsea,20:45,1,0,6.54,3.96,1.53,1,0,0,0
Blackpool,Birmingham,21:00,1,2,2.12,3.29,3.52,0,0,1,0
Fulham,West Brom,21:00,3,0,2.14,3.26,3.51,1,0,0,1
Manchester Utd,Stoke,21:00,2,1,1.37,4.54,9.24,1,0,0,1
Wigan,Newcastle,17:00,0,1,2.63,3.17,2.77,0,0,1,0
Chelsea,Aston Villa,14:30,3,3,1.26,5.41,12.14,0,1,0,0
Birmingham,Arsenal,18:30,0,3,6.1,3.81,1.58,0,0,1,1
Liverpool,Bolton,16:00,2,1,1.69,3.58,5.28,1,0,0,1
Manchester City,Blackpool,16:00,1,0,1.26,5.66,11.62,1,0,0,1
Stoke,Everton,16:00,2,0,2.89,3.16,2.51,1,0,0,0
Sunderland,Blackburn,16:00,3,0,1.81,3.48,4.61,1,0,0,1
Tottenham,Fulham,16:00,1,0,1.53,3.92,6.7,1,0,0,1
West Ham,Wolves,16:00,2,0,2.03,3.33,3.76,1,0,0,1
West Brom,Manchester Utd,13:45,1,2,5.36,3.64,1.67,0,0,1,1
Liverpool,Wolves,21:00,0,1,1.32,4.99,10.37,0,0,1,0
Chelsea,Bolton,20:45,1,0,1.3,5.27,10.55,1,0,0,1
Wigan,Arsenal,20:45,2,2,5.67,3.64,1.65,0,1,0,0
Birmingham,Manchester Utd,21:00,1,1,7.59,4.12,1.46,0,1,0,0
West Ham,Everton,18:30,1,1,3.43,3.24,2.18,0,1,0,0
Manchester City,Aston Villa,16:00,4,0,1.44,4.18,7.89,1,0,0,1
Stoke,Fulham,16:00,0,2,1.89,3.34,4.35,0,0,1,0
Sunderland,Blackpool,16:00,0,2,1.64,3.75,5.51,0,0,1,0
Tottenham,Newcastle,16:00,2,0,1.51,4.12,6.58,1,0,0,1
West Brom,Blackburn,16:00,1,3,1.72,3.61,4.97,0,0,1,0
Arsenal,Chelsea,21:00,3,1,2.67,3.21,2.69,1,0,0,1
Aston Villa,Tottenham,18:30,1,2,3.52,3.31,2.11,0,0,1,1
Blackburn,Stoke,16:00,0,2,2.49,3.17,2.93,0,0,1,0
Bolton,West Brom,16:00,2,0,2.08,3.3,3.66,1,0,0,1
Manchester Utd,Sunderland,16:00,2,0,1.25,5.62,12.17,1,0,0,1
Newcastle,Manchester City,16:00,1,3,3.14,3.26,2.3,0,0,1,1
Wolves,Wigan,16:00,1,2,2.03,3.24,3.88,0,0,1,0
Fulham,West Ham,13:00,1,3,1.92,3.28,4.31,0,0,1,0
Manchester City,Everton,21:00,1,2,1.71,3.45,5.4,0,0,1,0
Blackburn,West Ham,16:00,1,1,1.72,3.64,4.95,0,1,0,0
Sunderland,Bolton,13:45,1,0,2.11,3.24,3.61,1,0,0,1
Manchester Utd,Arsenal,21:00,1,0,1.85,3.55,4.2,1,0,0,1
Tottenham,Chelsea,17:00,1,1,3.25,3.33,2.22,0,1,0,0
Bolton,Blackburn,14:30,2,1,2.03,3.32,3.78,1,0,0,1
Wolves,Birmingham,14:30,1,0,2.43,3.18,3.01,1,0,0,1
Newcastle,Liverpool,18:30,3,1,3.37,3.28,2.19,1,0,0,0
Aston Villa,West Brom,16:00,2,1,2.38,3.21,3.05,1,0,0,1
Everton,Wigan,16:00,0,0,1.44,4.16,7.99,0,1,0,0
Fulham,Sunderland,16:00,0,0,2.1,3.23,3.67,0,1,0,0
Stoke,Blackpool,16:00,0,1,1.59,3.92,5.67,0,0,1,0
West Ham,Manchester City,16:00,1,3,4.11,3.4,1.93,0,0,1,1
Liverpool,Aston Villa,21:00,3,0,1.7,3.52,5.35,1,0,0,1
Sunderland,West Ham,17:00,1,0,1.85,3.47,4.35,1,0,0,1
West Brom,Newcastle,14:30,3,1,1.99,3.47,3.73,1,0,0,1
Arsenal,Fulham,16:00,2,1,1.3,5.13,10.65,1,0,0,1
Birmingham,Tottenham,16:00,1,1,3.65,3.3,2.07,0,1,0,0
Blackburn,Wolves,16:00,3,0,1.74,3.56,4.93,1,0,0,1
Chelsea,Everton,16:00,1,1,1.38,4.52,8.7,0,1,0,0
Manchester City,Bolton,16:00,1,0,1.51,4.04,6.85,1,0,0,1
Wigan,Stoke,16:00,2,2,3.14,3.12,2.39,0,1,0,0
Tottenham,Liverpool,17:00,2,1,2.07,3.37,3.56,1,0,0,1
Newcastle,Chelsea,14:30,1,1,4.98,3.72,1.7,0,1,0,0
Bolton,Blackpool,16:00,2,2,1.55,4.01,6.08,0,1,0,0
Everton,West Brom,16:00,1,4,1.56,3.9,6.17,0,0,1,0
Fulham,Birmingham,16:00,1,1,1.95,3.27,4.16,0,1,0,0
Manchester Utd,Blackburn,16:00,7,1,1.28,5.31,11.9,1,0,0,1
Stoke,Manchester City,16:00,1,1,3.47,3.28,2.15,0,1,0,0
West Ham,Wigan,16:00,3,1,1.93,3.48,3.97,1,0,0,1
Wolves,Sunderland,16:00,3,2,2.65,3.2,2.7,1,0,0,1
Aston Villa,Arsenal,13:45,2,4,3.97,3.4,1.95,0,0,1,1
Sunderland,Everton,21:00,2,2,2.72,3.15,2.71,0,1,0,0
Fulham,Manchester City,17:00,1,4,3.25,3.26,2.24,0,0,1,1
Blackburn,Aston Villa,14:30,2,0,2.17,3.25,3.47,1,0,0,1
Liverpool,West Ham,18:30,3,0,1.5,3.95,7.13,1,0,0,1
Birmingham,Chelsea,16:00,1,0,5.69,3.7,1.64,1,0,0,0
Blackpool,Wolves,16:00,2,1,2.37,3.32,2.99,1,0,0,1
